Date,WMT,FB,BP
2015-07-01,67.067825,86.910004,32.507422999999996
2015-07-02,67.04917900000001,87.290001,34.179565000000004
2015-07-06,67.674324,87.550003,33.037209000000004
2015-07-07,68.849968,87.220001,32.871655
2015-07-08,68.168823,85.650002,32.408089000000004
2015-07-09,67.907585,85.879997,32.391537
2015-07-10,68.22483100000001,87.949997,33.028942
2015-07-13,68.933945,90.099998,33.078594
2015-07-14,68.849968,89.68,33.384888000000004
2015-07-15,68.71934499999999,89.760002,33.144825
2015-07-16,68.887291,90.849998,32.73093
2015-07-17,68.476753,94.970001,32.383251
2015-07-20,68.206154,97.910004,32.076972999999995
2015-07-21,67.87024699999999,98.389999,32.060413
2015-07-22,68.26216099999999,97.040001,31.381632
2015-07-23,67.655663,95.440002,30.876671
2015-07-24,66.78791,96.949997,30.272377000000002
2015-07-27,66.601303,94.16999799999999,29.841934000000002
2015-07-28,67.27310200000001,95.290001,30.868391
2015-07-29,67.394409,96.989998,30.951173999999998
2015-07-30,67.32911700000001,95.209999,31.191233
2015-07-31,67.16114,94.010002,30.603503999999997
2015-08-03,67.347755,94.139999,30.197884000000002
2015-08-04,67.413071,94.059998,30.247551
2015-08-05,69.05705999999999,96.440002,30.188633000000003
2015-08-06,68.380676,95.120003,30.197056
2015-08-07,66.93396,94.300003,30.028732
2015-08-10,67.150024,94.150002,30.533695
2015-08-11,67.572762,93.620003,30.340126
2015-08-12,68.183403,94.190002,30.668356
2015-08-13,67.74185200000001,93.43,30.230715000000004
2015-08-14,67.995499,94.41999799999999,30.104473
2015-08-17,67.553986,93.93,29.902487
2015-08-18,65.271194,95.16999799999999,29.666838000000002
2015-08-19,64.416298,95.309998,29.170284000000002
2015-08-20,64.28479,90.559998,28.934637
2015-08-21,62.509269999999994,86.059998,27.916283
2015-08-24,60.076159999999994,82.089996,26.249893
2015-08-25,59.277657,83.0,25.845919
2015-08-26,60.902855,87.190002,26.174147
2015-08-27,62.077148,89.730003,27.798455999999998
2015-08-28,61.006203,91.010002,27.992027
2015-08-31,60.808914,89.43,28.227678000000004
2015-09-01,59.954041000000004,87.230003,27.049419
2015-09-02,60.536483999999994,89.889999,27.09992
2015-09-03,60.931038,88.150002,27.276657
2015-09-04,60.019798,88.260002,25.837502
2015-09-08,62.358955,89.529999,26.435045000000002
2015-09-09,61.175297,90.440002,26.005820999999997
2015-09-10,60.235874,91.980003,26.266721999999998
2015-09-11,60.733757,92.050003,26.098404000000002
2015-09-14,60.386166,92.309998,25.820669
2015-09-15,60.423747999999996,92.900002,26.182564000000003
2015-09-16,60.771343,93.449997,27.041008
2015-09-17,60.564671,94.339996,27.024174
2015-09-18,59.503117,94.400002,26.165733
2015-09-21,59.86010400000001,95.550003,26.14048
2015-09-22,59.737972,92.959999,25.576601
2015-09-23,59.86010400000001,93.970001,25.181046
2015-09-24,59.963432,94.410004,25.383028
2015-09-25,59.916458,92.769997,25.610267999999998
2015-09-28,59.80373,89.209999,24.726572
2015-09-29,59.916458,86.66999799999999,24.936972
2015-09-30,60.912243000000004,89.900002,25.719675
2015-10-01,60.376774,90.949997,26.056318
2015-10-02,61.043769999999995,92.07,27.369235999999997
2015-10-05,61.879864000000005,94.010002,28.185598
2015-10-06,61.70137,92.800003,28.875722999999997
2015-10-07,62.340182999999996,92.400002,30.053974
2015-10-08,62.828678000000004,92.470001,30.264381
2015-10-09,62.650185,93.239998,30.264381
2015-10-12,62.875641,94.260002,29.76783
2015-10-13,62.687763000000004,94.120003,29.2292
2015-10-14,56.39362,94.07,29.725746
2015-10-15,55.736027,95.959999,30.028732
2015-10-16,55.322678,97.540001,30.180222999999998
2015-10-19,55.285103,98.470001,29.405934999999996
2015-10-20,55.191157999999994,97.0,29.431189
2015-10-21,55.087821999999996,97.110001,29.574254999999997
2015-10-22,55.332077000000005,99.66999799999999,30.230715000000004
2015-10-23,54.768414,102.190002,30.062396999999997
2015-10-26,54.505375,103.769997,29.498514
2015-10-27,53.998089,103.699997,29.304940999999996
2015-10-28,54.148399,104.199997,30.079228999999998
2015-10-29,54.449013,104.879997,30.053974
2015-10-30,53.772629,101.970001,30.045563
2015-11-02,54.120213,103.309998,30.533695
2015-11-03,54.58991999999999,102.58000200000001,31.333225
2015-11-04,54.834179000000006,103.940002,31.102273999999998
2015-11-05,55.05964300000001,108.760002,30.409397
2015-11-06,55.219341,107.099998,30.050131
2015-11-09,54.946915000000004,106.489998,29.836284999999997
2015-11-10,55.125397,107.910004,29.742189
2015-11-11,54.092041,109.010002,29.417139000000002
2015-11-12,53.500202,108.019997,28.655832
2015-11-13,53.0023,103.949997,28.553186
2015-11-16,54.364464,104.040001,29.494123
2015-11-17,56.290282999999995,105.129997,29.237503000000004
2015-11-18,57.239101,107.769997,30.024465999999997
2015-11-19,57.023033,106.260002,30.152781
2015-11-20,56.431197999999995,107.32,29.451355
2015-11-23,56.609692,106.949997,29.442795
2015-11-24,56.290282999999995,105.739998,29.930372
2015-11-25,56.5909,105.410004,29.930372
2015-11-27,56.262108,105.449997,29.793515999999997
2015-11-30,55.275711,104.239998,29.596769000000002
2015-12-01,55.416622,107.120003,29.742189
2015-12-02,55.274525,106.07,28.929564000000003
2015-12-03,55.928162,104.379997,28.450539000000003
2015-12-04,56.515483999999994,106.18,27.945853999999997
2015-12-07,57.311206999999996,105.610001,26.739744
2015-12-08,56.46811700000001,106.489998,26.748296999999997
2015-12-09,56.01341600000001,104.599998,27.210209000000003
2015-12-10,56.420753000000005,105.41999799999999,27.201656
2015-12-11,56.23129300000001,102.120003,26.337706
2015-12-14,57.207001,104.660004,25.850126
2015-12-15,56.49654,104.550003,26.303488
2015-12-16,57.12175,106.790001,26.406136
2015-12-17,55.87131899999999,106.220001,25.961327
2015-12-18,55.748177,104.040001,25.790249
2015-12-21,56.411278,104.769997,25.773142
2015-12-22,57.349098,105.510002,26.337706
2015-12-23,57.87011,104.629997,27.672125
2015-12-24,57.623817,105.019997,27.475384000000002
2015-12-28,57.54803100000001,105.93,27.124668
2015-12-29,58.362708999999995,107.260002,27.261534
2015-12-30,58.429012,106.220001,26.782511
2015-12-31,58.069035,104.660004,26.739744
2016-01-04,58.220604,102.220001,26.568663
2016-01-05,59.603657,102.730003,26.457462
2016-01-06,60.200451,102.970001,25.918557999999997
2016-01-07,61.60244,97.91999799999999,25.174362
2016-01-08,60.190979000000006,97.33000200000001,24.729554999999998
2016-01-11,60.835136,97.510002,24.66968
2016-01-12,60.266757999999996,99.370003,24.507149
2016-01-13,58.656364,95.440002,24.6098
2016-01-14,59.736279,98.370003,26.371920000000003
2016-01-15,58.665836,94.970001,24.943403
2016-01-19,59.26263,95.260002,24.73811
2016-01-20,57.633286,94.349998,24.344627
2016-01-21,58.618473,94.160004,25.200026
2016-01-22,59.385780000000004,97.940002,25.961327
2016-01-25,60.105720999999996,97.010002,25.208579999999998
2016-01-26,60.626732,97.339996,26.294933
2016-01-27,60.579365,94.449997,26.243609999999997
2016-01-28,60.835136,109.110001,27.278639000000002
2016-01-29,62.862343,112.209999,27.689234000000003
