"","de","a","ciudad","tipo","dif"
"93",2019-03-02 11:54:00,2019-03-02 12:15:00,"Europe/Madrid","Walking",21
"94",2019-03-02 17:44:00,2019-03-02 17:54:00,"Europe/Madrid","Walking",10
"95",2019-03-04 12:50:00,2019-03-04 13:02:00,"Europe/Madrid","Walking",12
"96",2019-03-04 13:32:00,2019-03-04 13:45:00,"Europe/Madrid","Walking",13
"97",2019-03-06 17:14:00,2019-03-06 17:26:00,"Europe/Madrid","Walking",12
"98",2019-03-06 20:11:00,2019-03-06 20:25:00,"Europe/Madrid","Walking",14
"99",2019-03-08 18:14:00,2019-03-08 18:32:00,"Europe/Madrid","Walking",18
"100",2019-03-08 19:22:00,2019-03-08 19:38:00,"Europe/Madrid","Walking",16
"101",2019-03-09 13:30:00,2019-03-09 16:50:00,"Europe/Madrid","Hiking",200
"102",2019-03-11 20:04:00,2019-03-11 20:22:00,"Europe/Madrid","Walking",18
"103",2019-03-12 13:09:00,2019-03-12 13:14:00,"Europe/Madrid","Walking",5
"104",2019-03-13 13:45:00,2019-03-13 13:51:00,"Europe/Madrid","Walking",6
"105",2019-03-14 07:51:01,2019-03-14 07:55:00,"Europe/Madrid","Walking",3.98333333333333
"106",2019-03-14 13:44:00,2019-03-14 13:48:00,"Europe/Madrid","Walking",4
"107",2019-03-14 13:44:00,2019-03-14 13:49:00,"Europe/Madrid","Walking",5
"108",2019-03-14 13:44:00,2019-03-14 13:50:00,"Europe/Madrid","Walking",6
"109",2019-03-16 09:39:00,2019-03-16 09:47:00,"Europe/Madrid","Walking",8
"110",2019-03-17 08:06:00,2019-03-17 08:11:00,"Europe/Madrid","Running",5
"111",2019-03-18 17:29:00,2019-03-18 17:46:00,"Europe/Madrid","Walking",17
"112",2019-03-18 19:59:00,2019-03-18 20:09:00,"Europe/Madrid","Walking",10
"113",2019-03-18 20:10:00,2019-03-18 20:15:00,"Europe/Madrid","Running",5
"114",2019-03-19 08:21:00,2019-03-19 08:25:00,"Europe/Madrid","Running",4
"115",2019-03-19 08:26:00,2019-03-19 08:30:00,"Europe/Madrid","Walking",4
"116",2019-03-25 17:40:00,2019-03-25 17:48:00,"Europe/Madrid","Walking",8
"117",2019-03-25 20:08:00,2019-03-25 20:21:00,"Europe/Madrid","Walking",13
"118",2019-03-26 07:04:00,2019-03-26 07:07:00,"Europe/Madrid","Running",3
"119",2019-03-26 07:08:00,2019-03-26 07:12:00,"Europe/Madrid","Walking",4
"120",2019-03-26 17:28:00,2019-03-26 17:34:00,"Europe/Madrid","Walking",6
"121",2019-03-26 17:40:00,2019-03-26 17:48:00,"Europe/Madrid","Walking",8
"122",2019-03-26 18:00:00,2019-03-26 19:00:00,"Europe/Madrid","Tennis",60
"123",2019-03-26 18:06:00,2019-03-26 19:06:00,"Europe/Madrid","Other",60
"124",2019-03-27 19:37:00,2019-03-27 20:05:00,"Europe/Madrid","Walking",28
"125",2019-03-28 16:28:00,2019-03-28 16:33:00,"Europe/Madrid","Walking",5
"126",2019-03-29 08:04:00,2019-03-29 08:21:00,"Europe/Madrid","Walking",17
"127",2019-03-29 19:04:00,2019-03-29 19:55:00,"Europe/Madrid","Tennis",51
"128",2019-03-30 08:15:00,2019-03-30 09:15:00,"Europe/Madrid","Pilates",60
"129",2019-03-30 09:25:00,2019-03-30 09:44:00,"Europe/Madrid","Running",19
"130",2019-03-30 09:25:00,2019-03-30 09:45:00,"Europe/Madrid","Running",20
"131",2019-03-30 17:41:00,2019-03-30 18:14:00,"Europe/Madrid","Walking",33
"132",2019-03-30 19:34:00,2019-03-30 20:00:00,"Europe/Madrid","Walking",26
"133",2019-03-31 17:00:00,2019-03-31 18:00:00,"Europe/Madrid","Tennis",60
"134",2019-03-31 19:40:00,2019-03-31 19:50:00,"Europe/Madrid","Other",10
"135",2019-04-01 16:44:00,2019-04-01 17:05:00,"Europe/Madrid","Walking",21
"136",2019-04-01 19:02:00,2019-04-01 19:19:00,"Europe/Madrid","Walking",17
"137",2019-04-02 06:39:00,2019-04-02 06:51:00,"Europe/Madrid","Walking",12
"138",2019-04-02 12:06:00,2019-04-02 12:19:00,"Europe/Madrid","Walking",13
"139",2019-04-02 17:26:00,2019-04-02 17:36:00,"Europe/Madrid","Walking",10
"140",2019-04-02 18:19:00,2019-04-02 18:41:00,"Europe/Madrid","Walking",22
"141",2019-04-03 16:14:00,2019-04-03 16:29:00,"Europe/Madrid","Walking",15
"142",2019-04-03 19:08:00,2019-04-03 19:21:00,"Europe/Madrid","Walking",13
"143",2019-04-10 16:35:00,2019-04-10 16:51:00,"Europe/Madrid","Walking",16
"144",2019-04-10 19:08:00,2019-04-10 19:27:00,"Europe/Madrid","Walking",19
"145",2019-04-11 13:02:00,2019-04-11 13:15:00,"Europe/Madrid","Walking",13
"146",2019-04-11 15:35:00,2019-04-11 16:01:00,"Europe/Madrid","Walking",26
"147",2019-04-12 10:32:00,2019-04-12 10:36:00,"Europe/Madrid","Running",4
"148",2019-04-13 12:20:00,2019-04-13 12:31:00,"Europe/Madrid","Walking",11
"149",2019-04-13 13:38:00,2019-04-13 13:56:00,"Europe/Madrid","Walking",18
"150",2019-04-13 17:40:00,2019-04-13 18:02:00,"Europe/Madrid","Walking",22
"151",2019-04-14 18:44:00,2019-04-14 18:50:00,"Europe/Madrid","Walking",6
"152",2019-04-22 17:10:00,2019-04-22 18:35:00,"Europe/Madrid","Other",85
"153",2019-04-23 06:15:00,2019-04-23 07:15:00,"Europe/Madrid","Pilates",60
"154",2019-04-23 07:20:00,2019-04-23 07:32:00,"Europe/Madrid","Cycling",12
"155",2019-04-23 07:31:19,2019-04-23 07:32:48,"Europe/Madrid","Running",1.48333333333333
"156",2019-04-23 07:33:00,2019-04-23 07:48:45,"Europe/Madrid","Running",15.75
"157",2019-04-24 16:02:29,2019-04-24 16:12:49,"Europe/Madrid","Running",10.3333333333333
"158",2019-04-25 08:52:00,2019-04-25 09:04:00,"Europe/Madrid","Walking",12
"159",2019-04-25 18:37:00,2019-04-25 18:43:00,"Europe/Madrid","Walking",6
"160",2019-04-26 07:26:00,2019-04-26 07:38:00,"Europe/Madrid","Running",12
"161",2019-04-27 07:15:00,2019-04-27 08:15:00,"Europe/Madrid","Pilates",60
"162",2019-04-27 08:38:19,2019-04-27 08:51:30,"Europe/Madrid","Running",13.1833333333333
"163",2019-04-27 15:00:00,2019-04-27 15:16:00,"Europe/Madrid","Walking",16
"164",2019-04-27 16:10:00,2019-04-27 16:26:00,"Europe/Madrid","Walking",16
"165",2019-05-13 13:52:00,2019-05-13 13:56:00,"Europe/Madrid","Walking",4
"166",2019-05-14 07:21:00,2019-05-14 07:35:00,"Europe/Madrid","Walking",14
"167",2019-05-17 17:21:00,2019-05-17 17:32:00,"Europe/Madrid","Walking",11
"168",2019-06-07 08:01:00,2019-06-07 09:15:00,"Europe/Madrid","Other",74
"169",2019-06-09 11:09:00,2019-06-09 11:54:00,"Europe/Madrid","Other",45
"170",2019-06-09 12:24:00,2019-06-09 12:38:00,"Europe/Madrid","Walking",14
"171",2019-06-09 16:50:00,2019-06-09 18:11:00,"Europe/Madrid","Other",81
"172",2019-06-10 06:32:00,2019-06-10 06:43:00,"Europe/Madrid","Walking",11
"173",2019-06-10 13:49:00,2019-06-10 14:02:00,"Europe/Madrid","Walking",13
"174",2019-06-10 14:12:00,2019-06-10 14:24:00,"Europe/Madrid","Walking",12
"175",2019-06-10 14:48:00,2019-06-10 15:04:00,"Europe/Madrid","Walking",16
"176",2019-06-10 17:34:00,2019-06-10 17:49:00,"Europe/Madrid","Walking",15
"177",2019-06-11 16:53:00,2019-06-11 16:57:00,"Europe/Madrid","Walking",4
"178",2019-06-12 12:53:00,2019-06-12 13:03:00,"Europe/Madrid","Walking",10
"179",2019-06-12 13:53:00,2019-06-12 14:00:00,"Europe/Madrid","Walking",7
"180",2019-06-12 17:42:00,2019-06-12 18:01:00,"Europe/Madrid","Other",19
"181",2019-06-17 16:46:00,2019-06-17 16:59:00,"Europe/Madrid","Walking",13
"182",2019-06-18 13:07:00,2019-06-18 13:22:00,"Europe/Madrid","Walking",15
"183",2019-06-19 18:05:00,2019-06-19 19:07:00,"Europe/Madrid","Tennis",62
"184",2019-06-20 14:54:00,2019-06-20 15:00:00,"Europe/Madrid","Walking",6
"185",2019-06-20 15:24:00,2019-06-20 15:29:00,"Europe/Madrid","Running",5
"186",2019-06-20 16:45:00,2019-06-20 16:58:00,"Europe/Madrid","Walking",13
"187",2019-06-20 18:12:00,2019-06-20 18:22:00,"Europe/Madrid","Running",10
"188",2019-06-23 10:24:00,2019-06-23 11:13:00,"Europe/Madrid","Other",49
"189",2019-06-24 13:15:00,2019-06-24 13:30:00,"Europe/Madrid","Swimming",15
"190",2019-06-24 16:45:00,2019-06-24 17:15:00,"Europe/Madrid","Walking",30
"191",2019-06-27 15:12:00,2019-06-27 15:20:00,"Europe/Madrid","Walking",8
"192",2019-06-28 06:20:00,2019-06-28 06:30:00,"Europe/Madrid","Walking",10
"193",2019-08-10 19:38:00,2019-08-10 19:55:00,"Europe/Madrid","Walking",17
"194",2019-08-10 20:28:00,2019-08-10 20:45:00,"Europe/Madrid","Walking",17
